English Term,English Def.,Arabic Term,Arabic Def.,French Term,French Def.,Refined  English Def.,Refined French Def.
Step Size,"See ""Learning Rate.""",حجم الخطوة,"انظر ""معدل التعلُّم"".",Pas d’apprentissage,"Voir "" Taux d'apprentissage "".",,
Step-Back Prompting,A prompt engineering technique that enables a model to identify relevant high-level concepts or principles and use them to derive the correct response.,أوامر الرجوع إلى العموم,أسلوب في هندسة الأوامر يُمكِّن النموذج من تحديد المفاهيم أو المبادئ العامة ذات الصلة، واستخدامها لاستخلاص الاستجابات الصحيحة.,"""Prompting rétrospective"" ou Instruction rétrospective","Une technique d'ingénierie de prompt qui permet à un modèle d’identifier des concepts ou principes de haut niveau , puis de les utiliser pour produire la réponse correcte.",,
Stochastic Gradient Descent (SGD),A gradient descent algorithm that has a batch size of one.,نزول تدرجي عشوائي,خوارزمية نزول تدرجي يكون حجم الحُزمة فيها واحدًا.,Descente de gradient stochastique ,Descente de gradient avec taille de lot égale à 1.,,
Stochastic Optimization (SO),A collection of methods to minimize or maximize an objective function with random variables.,تحسين عشوائي,مجموعة من الطُّرُق لتقليل دالة الهدف أو تعظيمها باستخدام متغيرات عشوائية.,Optimisation stochastique,Un ensemble de méthodes permettant de minimiser ou maximiser une fonction objective impliquant des variables aléatoires.,,
Stochastic Semantic Analysis,An approach used as a semantic component in natural language understanding.,تحليل دلالي عشوائي,طريقة تُستخدم كمُكوِّن دلالي في فهم اللغات الطبيعية.,Analyse sémantique stochastique, Une approche utilisée comme composant sémantique dans la compréhension du langage naturel.,,
Streaming Data,The data that is arriving from a continuous operating source.,بيانات متدفقة,بيانات تصل من مصدر يعمل بصفة مستمرة.,Données en flux,Les données qui proviennent d’une source fonctionnant de manière continue.,,
Strong Artificial Intelligence,See “Artificial General Intelligence (AGI).”,ذكاء اصطناعي قوي,"انظر ""ذكاء عام اصطناعي"".",Intelligence artificielle forte,"Voir "" Intelligence artificielle générale "".",,
Structural Risk Minimization (SRM),An inductive principle used to address overfitting by balancing between training data fitness and model complexity.,تقليل المخاطر الهيكلي,مبدأ استقرائي يُستخدم لمعالجة فرط التخصيص، عن طريق الموازنة بين ملاءمة بيانات التدريب وتعقيد النموذج.,Minimisation du risque structurel ,Un principe inductif utilisé pour lutter contre le surapprentissage en trouvant un équilibre entre l’ajustement aux données d’entraînement et la complexité du modèle.,,
Structured Data,The data that is organized in a predefined manner according to a set of rules.,بيانات مهيكلة,بيانات منظمة بطريقة محددة سابقًا، وفقًا لمجموعة من القواعد.,Données structurées,Données organisées selon un schéma prédéfini en se basant sur un ensemble de règles. ,,
Structured Query Language (SQL),A standardized query language used in relational databases to define and manipulate data.,لغة الاستعلام المهيكلة,لغة استعلام موحدة تُستخدم في قواعد البيانات العلائقية لتعريف البيانات وإدارتها.,Langage SQL,Un langage de requête standardisé utilisé dans les bases de données relationnelles pour définir et manipuler les données.,,
Subsampling,A technique to reduce the data size by choosing a subset of the original data.,أخذ عيِّنات جزئية,أسلوب لتقليل حجم البيانات باختيار مجموعة فرعية من البيانات الأصلية.,Sous-échantillonnage,Une technique visant à réduire la taille des données en sélectionnant un sous-ensemble des données d’origine.,,
Subsymbolic Artificial Intelligence,A branch of artificial intelligence concerned with learning through the use of implicit information and numeric representation.,ذكاء اصطناعي شبه ترميزي,فرع من فروع الذكاء الاصطناعي يهتم بالتعلُّم، عن طريق استخدام المعلومات الضمنية والتمثيل الرقمي.,IA subsymbolique,Une branche de l’intelligence artificielle qui s’intéresse à l’apprentissage fondé sur l’utilisation d’informations implicites et de représentations numériques.,,
Sum of Squared Residuals (SSR),"See ""Residual Sum of Squares (RSS).""",مجموع المتبقيات المربعة,"انظر ""مجموع المربعات المتبقية"".",Somme des carrés résiduels ,"Voir "" Somme des carrés résiduels "".",,
Superintelligence,"A hypothetical AI that can far surpass human ability. Also called ""Artificial Superintelligence (ASI).""",ذكاء خارق,"ذكاء اصطناعي افتراضي يمكنه تجاوز القدرات البشرية. ويُطلق عليه أيضًا ""ذكاء اصطناعي خارق"".",Superintelligence,ne intelligence artificielle hypothétique capable de dépasser largement les capacités humaines. Également appelée “superintelligence artificielle”.,,
Supervised Fine-Tuning (SFT),An approach to adapt a pre-trained model to a specific task by further training it on labeled data.,ضبط دقيق موجَّه,طريقة لتكييف نموذج مُدرَّب سابقًا على مهمة محددة، عن طريق تدريبه على بيانات مُسمَّاة.,Ajustement fin supervisé ,Une méthode permettant d’adapter un modèle pré-entraîné à une tâche spécifique en le réentraînant sur des données annotées.,,
Supervised Learning,A type of machine learning that uses a labeled dataset to train a model for prediction or classification.,تعلُّم موجَّه,نوع من تعلُّم الآلة يستخدم مجموعة بيانات مُسمّاة لتدريب نموذج للتنبؤ أو التصنيف.,Apprentissage supervisé,Un type d’apprentissage automatique utilisant un ensemble de données annotées pour entraîner un modèle à des fins de classification ou de prédiction.,,
