English Term,English Def.,Arabic Term,Arabic Def.
Thompson Sampling,A heuristic learning algorithm that performs actions sequentially to balance between maximizing immediate performance and accumulating new information that could improve performance in the future.,أخذ عيِّنات تومبسون,خوارزمية تعلُّم إرشادية تُنفِّذ الأفعال بطريقة متسلسلة لتوازن بين تعظيم الأداء الفوري وتجميع المعلومات الجديدة التي يمكن أن تحسن الأداء في المستقبل.
Time Complexity,The amount of time to run an algorithm.,تعقيد زمني,مقدار الوقت اللازم لتشغيل خوارزمية.
Time Series Analysis,A method of analyzing data gathered over a time interval.,تحليل السلاسل الزمنية,طريقة لتحليل البيانات التي جُمعت خلال فترة زمنية.
Time Stamp (or Timestamp),"A specific time and date registered to a digital file to record when data was created, deleted, changed, or transmitted.",ختم زمني,وقت وتاريخ محددان مرتبطان بملف رقمي لتوثيق وقت إنشاء البيانات أو حذفها أو تغييرها أو إرسالها.
Tiny Machine Learning (TinyML),"A subfield of machine learning that focuses on running machine learning models on resource-constrained devices, such as IoT devices and microcontrollers.",تعلُّم الآلة المُصغَّر,مجال فرعي من تعلُّم الآلة يركز على تشغيل نماذج تعلُّم الآلة على الأجهزة المحدودة الموارد، مثل أجهزة إنترنت الأشياء ووحدات التحكم الدقيقة.
Token,The smallest unit of data that a model processes.,وحدة,أصغر وحدة بيانات يعالجها النموذج.
Top-K Sampling,A text generation method that selects the next word from the top K most probable words.,أخذ عيِّنات أعلى (ك),طريقة لتوليد النصوص تختار الكلمة التالية من عدد (ك) من الكلمات الأكثر احتمالًا.
Top-P Sampling,"A text generation method that selects the next word from the top most probable words whose cumulative probability reaches P. Also called ""Nucleus Sampling"".",أخذ عيِّنات أعلى (ب),"طريقة لتوليد النصوص تختار الكلمة التالية من الكلمات الأكثر احتمالًا، التي مجموع احتمالاتها تقارب القيمة (ب). ويُطلق عليها أيضًا ""أخذ عيِّنات نيوكليوس""."
Topic Modeling,The use of statistical tools or machine learning to discover semantic topics in a collection of documents.,نمذجة الموضوعات,استخدام أدوات إحصائية أو تعلُّم الآلة لاكتشاف الموضوعات الدلالية في مجموعة من الوثائق.
Torch,"An open-source scientific computing framework with broad support for machine learning algorithms, written in C and Lua programming languages.",تورتش,إطار للحوسبة العلمية مفتوح المصدر، مع دعم واسع لخوارزميات تعلُّم الآلة، مكتوب بلغات البرمجة سي و لوا.
Trained Model,The result of training a model.,نموذج مُدرّب,الناتج من عملية تدريب النموذج.
Training,"The process of determining or optimizing the parameters comprising a model based on a machine learning algorithm using training data. Also called ""Model Training.""",تدريب,"عملية تحديد أو تحسين المُعامِلات التي تشكل نموذجًا يعتمد على خوارزمية تعلُّم الآلة باستخدام بيانات التدريب. ويُطلق عليها أيضًا ""تدريب النموذج""."
"Training Dataset (or Training Data, Training Set)",The data that is given to a machine learning model during the training phase.,بيانات التدريب (أو مجموعة التدريب),البيانات التي تٌقدَّم إلى نموذج تعلُّم الآلة أثناء مرحلة التدريب.
Training Error,The error that occurs when running a model on the training data.,خطأ التدريب,الخطأ الذي يحدث عند تشغيل نموذج على بيانات التدريب.
Training Example,An example in a training dataset that consists of one or more features and sometimes a label.,مثال تدريب,مثال من بيانات التدريب يتكون من خاصية واحدة أو أكثر، وقد يحوي اسمًا أيضًا.
Trajectory,A sequence of tuples in reinforcement learning that represent a sequence of the agent's state transitions.,مسار,تسلسل من المجموعات في التعلُّم التعزيزي التي تُمثِّل تسلسلًا من انتقالات حالة الوكيل.
Transaction Processing,A type of computing that divides work into individual and indivisible operations to support interactive applications.,معالجة العمليات,نوع من الحوسبة يُقسِّم العمل إلى عمليات فردية وغير قابلة للتجزئة لدعم التطبيقات التفاعلية.
Transactional Data,Data that captures the details of business transactions or events.,بيانات عملياتية,البيانات التي تتضمن تفاصيل العمليات أو الأحداث المتعلقة بالأعمال.
Transcendence,"A hypothetical state at which AI surpasses human intelligence, potentially leading to capabilities far beyond human comprehension or control.",تفوق,حالة افتراضية يتفوق فيها الذكاء الاصطناعي على الذكاء البشري، وقد يؤدي إلى قدرات تتجاوز بكثير الفهم البشري أو السيطرة عليه.
